numéro_fournisseur,nom,adresse,pays,ville,téléphone,code_postal
490-14-2726,Armstrong World Industries Inc,7th Floor,Poland,Dobra,251-355-5618,72-210
801-59-9912,Kenon Holdings Ltd.,PO Box 65049,China,Shataping,135-131-0684,
706-78-5806,"Bonanza Creek Energy, Inc.",Apt 229,Russia,Novozavedennoye,784-332-2536,357813
663-72-8566,"Richmont Mines, Inc.",PO Box 25724,Ukraine,Fontanka,532-238-0234,
431-40-3894,"Celestica, Inc.",Room 1572,China,Hengshan,389-738-5886,
750-35-0406,"TrueCar, Inc.",PO Box 22055,Mexico,Santiago,774-708-5322,54784
865-64-9469,Exxon Mobil Corporation,PO Box 53794,Sweden,Bollstabruk,480-709-3122,873 80
314-44-1522,BP p.l.c.,17th Floor,Philippines,San Jose,701-605-2925,8427
467-98-9455,"Evertec, Inc.",Apt 709,China,Shanxi,606-430-5957,
272-06-5061,Omega Protein Corporation,Apt 1425,China,Lingbei,988-523-1996,
